,title,location,company,salary,city,state,parsed_salary
7259,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7260,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7261,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7262,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7263,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7264,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7265,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7266,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7267,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7268,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7269,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7270,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7271,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7272,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7273,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7274,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7275,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7276,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7277,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7278,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7279,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7280,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7281,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7282,Software Development Engineer – Emerging AWS Machine Learnin...,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7283,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7284,Expert Data Analyst/ SQL Expert,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7285,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7286,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7287,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7288,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7289,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7290,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
