budget,studio,sound,aspect,color,aspect_ratio
"[u'\nBudget:        $1,300,000        \n\n      (estimated)\n']","[u'Columbia Pictures Corporation', u'Columbia Pictures', u'Bill/Phillips']","[u'Dolby SR', u'Stereo']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $4,000,000        \n\n      (estimated)\n']",[u'Rollins-Joffe Productions'],[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $11,000,000        \n\n      (estimated)\n']","[u'Lucasfilm', u'Twentieth Century Fox Film Corporation']","[u'70 mm 6-Track', u'Dolby', u'DTS-Stereo', u'Dolby Digital', u'SDDS', u'Mono']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $15,000,000        \n\n      (estimated)\n']","[u'EMI Films', u'Universal Pictures']","[u'70 mm 6-Track', u'Dolby Stereo']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $11,000,000        \n\n      (estimated)\n']","[u'Brandywine Productions', u'Twentieth Century-Fox Productions']","[u'70 mm 6-Track', u'Dolby']",,"[u'Color', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $31,500,000        \n\n      (estimated)\n']","[u'Zoetrope Studios', u'Zoetrope Studios']","[u'70 mm 6-Track', u'Dolby Digital', u'Dolby', u'DTS']",,"[u'Color', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $4,000,000        \n\n      (estimated)\n']","[u'HandMade Films', u'Python (Monty) Pictures']",[u'Dolby Stereo'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        RUR\xa06,000,000        \n\n      (estimated)\n']","[u'Mosfilm', u'Vtoroe Tvorcheskoe Obedinenie']",[u'Mono'],,"[u'Color', u' Black and White', u'Color']",[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $5,000,000        \n\n      (estimated)\n']",[u'Brooksfilms'],[u'Dolby'],,[u' Black and White'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $18,000,000        \n\n      (estimated)\n']",[u'Lucasfilm'],"[u'70 mm 6-Track', u'Dolby Stereo', u'Dolby Digital EX', u'DTS-ES']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $18,000,000        \n\n      (estimated)\n']",[u'Chartoff-Winkler Productions'],[u'Dolby'],,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $19,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Hawk Films', u'Peregrine']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $14,000,000        \n\n      (estimated)\n']","[u'Bavaria Film', u'Radiant Film GmbH', u'S\xfcddeutscher Rundfunk (SDR)']","[u'Dolby Digital', u'Dolby', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $18,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Lucasfilm']","[u'70 mm 6-Track', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $28,000,000        \n\n      (estimated)\n']","[u'Ladd Company, The', u'Shaw Brothers', u'Warner Bros.']","[u'70 mm 6-Track', u'Dolby Stereo']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $22,000,000        \n\n      (estimated)\n']","[u'International Film Investors', u'National Film Development Corporation of India (NFDC)', u'Goldcrest Films International']","[u'Dolby', u'70 mm 6-Track']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $15,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'Turman-Foster Company']","[u'Dolby Stereo', u'70 mm 6-Track']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $32,500,000        \n\n      (estimated)\n']",[u'Lucasfilm'],"[u'70 mm 6-Track', u'Dolby', u'DTS', u'Dolby Digital', u'SDDS', u'Dolby Digital EX', u'DTS-ES']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']",[u'Universal Pictures'],[u'4-Track Stereo'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $18,000,000        \n\n      (estimated)\n']","[u'AMLF', u'The Saul Zaentz Company']","[u'70 mm 6-Track', u'Dolby Digital', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $1,000,000        \n\n      (estimated)\n']","[u'Nibariki', u'Tokuma Shoten', u'Hakuhodo']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $30,000,000        \n\n      (estimated)\n']","[u'Ladd Company, The', u'Embassy International Pictures', u'Producers Sales Organization (PSO)']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $6,400,000        \n\n      (estimated)\n']","[u'Hemdale', u'Pacific Western', u'Euro Film Funding']","[u'Mono', u'Dolby', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $19,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'Amblin Entertainment', u'U-Drive Productions']","[u'70 mm 6-Track', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 1.37 : 1\n    ']
