,title,location,company,salary,city,state
223,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
224,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
225,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
226,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
227,Machine Learning for Autonomous Vehicles Research Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
228,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
229,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
230,Marketing Research Analyst,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
231,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
232,Data Analytical Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
233,Automated Driving Research Scientist – Real-time Path Planni...,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
234,Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
235,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
236,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
237,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
238,Data Scientist/Analyst,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
239,Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
240,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
241,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
242,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
243,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
244,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
245,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
246,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
247,Marketing Research Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
248,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
249,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
250,Data Scientist/Analyst,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
251,Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
252,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
253,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
254,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
255,Data Scientist/Analyst,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
256,Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
257,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
258,Automated Driving Research Scientist – Real-time Path Planni...,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
259,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
260,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
261,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
262,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
